Name,Party,State,Address,Phone Number,Web Page,Contact Link
"Cardin, Benjamin L.",D,MD,509 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4524,http://cardin.senate.gov/,http://cardin.senate.gov/contact/email.cfm
"Carper, Thomas R.",D,DE,513 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2441,http://carper.senate.gov,http://carper.senate.gov/contact/
"Casey, Robert P., Jr.",D,PA,393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6324,http://casey.senate.gov/,http://casey.senate.gov/contact/
"Chambliss, Saxby",R,GA,416 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3521,http://chambliss.senate.gov,http://chambliss.senate.gov/public/index.cfm?p=Email
"Coats, Daniel",R,IN,B40E DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5623,http://coats.senate.gov,http://coats.senate.gov/contact/
"Coburn, Tom",R,OK,172 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5754,http://coburn.senate.gov,http://coburn.senate.gov/public/index.cfm/contactsenatorcoburn?p=ContactForm
"Cochran, Thad",R,MS,113 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5054,http://cochran.senate.gov,http://cochran.senate.gov/email.html
"Collins, Susan M.",R,ME,413 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2523,http://collins.senate.gov,http://collins.senate.gov/public/continue.cfm?FuseAction=ContactSenatorCollins.EmailIssue
"Conrad, Kent",D,ND,530 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2043,http://conrad.senate.gov,http://conrad.senate.gov/contact/webform.cfm
"Coons, Christopher A.",D,DE,383 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5042,http://coons.senate.gov/,http://coons.senate.gov/contact/
"Corker, Bob",R,TN,185 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3344,http://corker.senate.gov/,http://corker.senate.gov/public/index.cfm?p=ContactMe
"Cornyn, John",R,TX,517 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2934,http://cornyn.senate.gov/,http://cornyn.senate.gov/public/index.cfm?p=ContactForm
"Crapo, Mike",R,ID,239 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6142,http://crapo.senate.gov,http://crapo.senate.gov/contact/email.cfm
"DeMint, Jim",R,SC,167 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6121,http://demint.senate.gov,http://demint.senate.gov/public/index.cfm?p=ContactInformation
"Durbin, Richard J.",D,IL,711 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2152,http://durbin.senate.gov,http://durbin.senate.gov/contact.cfm
"Ensign, John",R,NV,119 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6244,http://ensign.senate.gov,http://ensign.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm
"Enzi, Michael B.",R,WY,379A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3424,http://enzi.senate.gov,http://enzi.senate.gov/public/index.cfm?FuseAction=ContactInformation.EmailSenatorEnzi
"Feinstein, Dianne",D,CA,331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3841,http://feinstein.senate.gov,http://feinstein.senate.gov/public/index.cfm?FuseAction=ContactUs.EmailMe
"Franken, Al",D,MN,320 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5641,http://franken.senate.gov,http://franken.senate.gov/?p=contact
"Gillibrand, Kirsten E.",D,NY,478 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4451,http://gillibrand.senate.gov,http://gillibrand.senate.gov/contact/
"Graham, Lindsey",R,SC,290 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5972,http://lgraham.senate.gov/,http://lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham
"Grassley, Chuck",R,IA,135 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3744,http://grassley.senate.gov,http://grassley.senate.gov/contact.cfm
"Hagan, Kay R.",D,NC,521 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6342,http://hagan.senate.gov,http://hagan.senate.gov/?p=contact
"Harkin, Tom",D,IA,731 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3254,http://harkin.senate.gov/,http://harkin.senate.gov/contact.cfm
"Hatch, Orrin G.",R,UT,104 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5251,http://hatch.senate.gov/,http://hatch.senate.gov/public/index.cfm?FuseAction=Offices.Contact
"Hoeven, John",R,ND,G11 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2551,http://hoeven.senate.gov,http://hoeven.senate.gov/contact_form.cfm
"Hutchison, Kay Bailey",R,TX,284 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5922,http://hutchison.senate.gov/,http://hutchison.senate.gov/contact.cfm
"Inhofe, James M.",R,OK,205 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4721,http://inhofe.senate.gov/,http://inhofe.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm
"Inouye, Daniel K.",D,HI,722 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3934,http://inouye.senate.gov/,http://inouye.senate.gov/Contact/ContactDKI.cfm
"Isakson, Johnny",R,GA,131 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3643,http://isakson.senate.gov,http://isakson.senate.gov/contact.cfm
"Johanns, Mike",R,NE,404 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4224,http://johanns.senate.gov,http://johanns.senate.gov/public/?p=ContactSenatorJohanns
"Johnson, Ron",R,WI,2 RUSSELL COURTYARD WASHINGTON DC 20510,(202) 224-5323,http://ronjohnson.senate.gov/,http://ronjohnson.senate.gov/public/index.cfm/contact
"Johnson, Tim",D,SD,136 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5842,http://johnson.senate.gov/,http://johnson.senate.gov/public/index.cfm?p=Contact
"Kerry, John F.",D,MA,218 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2742,http://kerry.senate.gov/,http://kerry.senate.gov/contact/
"Kirk, Mark",R,IL,387 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2854,http://kirk.senate.gov,http://www.kirk.senate.gov/contact_form.cfm
"Klobuchar, Amy",D,MN,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3244,http://klobuchar.senate.gov/,http://klobuchar.senate.gov/emailamy.cfm
"Kohl, Herb",D,WI,330 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5653,http://kohl.senate.gov/,http://kohl.senate.gov/contact.cfm
"Kyl, Jon",R,AZ,730 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4521,http://kyl.senate.gov/,http://kyl.senate.gov/contact.cfm
"Landrieu, Mary L.",D,LA,431 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5824,http://landrieu.senate.gov/,http://landrieu.senate.gov/about/contact.cfm
"Lautenberg, Frank R.",D,NJ,324 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3224,http://lautenberg.senate.gov/,http://lautenberg.senate.gov/contact/routing.cfm
"Leahy, Patrick J.",D,VT,433 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4242,http://leahy.senate.gov/,http://leahy.senate.gov/contact/
"Lee, Mike",R,UT,825 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5444,http://lee.senate.gov/,null
"Levin, Carl",D,MI,269 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6221,http://levin.senate.gov/,http://levin.senate.gov/contact/
"Lieberman, Joseph I.",ID,CT,706 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4041,http://lieberman.senate.gov/,http://lieberman.senate.gov/index.cfm/contact/email-me-about-an-issue
"Lugar, Richard G.",R,IN,306 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4814,http://lugar.senate.gov/,http://lugar.senate.gov/contact/
"Manchin, Joe, III",D,WV,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3954,http://manchin.senate.gov/,http://manchin.senate.gov/contact_form.cfm
"McCain, John",R,AZ,241 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2235,http://mccain.senate.gov/,http://mccain.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm
"McCaskill, Claire",D,MO,506 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6154,http://mccaskill.senate.gov/,http://mccaskill.senate.gov/?p=contact
"McConnell, Mitch",R,KY,361A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2541,http://mcconnell.senate.gov/,http://www.mcconnell.senate.gov/public/index.cfm?p=contact
"Menendez, Robert",D,NJ,528 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4744,http://menendez.senate.gov/,http://menendez.senate.gov/contact/
"Merkley, Jeff",D,OR,107 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3753,http://merkley.senate.gov,http://merkley.senate.gov/contact/
"Mikulski, Barbara A.",D,MD,503 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4654,http://mikulski.senate.gov/,http://mikulski.senate.gov/contact/
"Moran, Jerry",R,KS,4 RUSSELL COURTYARD WASHINGTON DC 20510,(202) 224-6521,http://moran.senate.gov,http://moran.senate.gov/public/index.cfm?p=e-mail-jerry
"Murkowski, Lisa",R,AK,709 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6665,http://murkowski.senate.gov/,http://murkowski.senate.gov/public/index.cfm?p=Contact
"Murray, Patty",D,WA,448 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2621,http://murray.senate.gov/,http://murray.senate.gov/email/index.cfm
"Nelson, Ben",D,NE,720 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6551,http://bennelson.senate.gov/,http://bennelson.senate.gov/contact-me.cfm
"Nelson, Bill",D,FL,716 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5274,http://billnelson.senate.gov/,http://billnelson.senate.gov/contact/index.cfm
"Paul, Rand",R,KY,5 RUSSELL COURTYARD WASHINGTON DC 20510,(202) 224-4343,http://paul.senate.gov,http://paul.senate.gov/contact_form.cfm
"Portman, Rob",R,OH,B40D DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3353,http://portman.senate.gov,http://portman.senate.gov/contact_form.cfm
"Pryor, Mark L.",D,AR,255 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2353,http://pryor.senate.gov,http://pryor.senate.gov/public/index.cfm?p=ContactMe
"Reed, Jack",D,RI,728 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4642,http://reed.senate.gov/,http://reed.senate.gov/contact/contact-share.cfm
"Reid, Harry",D,NV,522 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3542,http://reid.senate.gov/,http://reid.senate.gov/contact/index.cfm
"Risch, James E.",R,ID,483 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2752,http://risch.senate.gov,http://risch.senate.gov/public/index.cfm?p=Email
"Roberts, Pat",R,KS,109 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4774,http://roberts.senate.gov/,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat
"Rockefeller, John D., IV",D,WV,531 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6472,http://rockefeller.senate.gov/,http://rockefeller.senate.gov/contact/email.cfm
"Rubio, Marco",R,FL,B40A DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3041,http://rubio.senate.gov,http://rubio.senate.gov/public/index.cfm/contact
"Sanders, Bernard",I,VT,332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5141,http://sanders.senate.gov/,http://sanders.senate.gov/contact/
"Schumer, Charles E.",D,NY,322 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6542,http://schumer.senate.gov/,http://schumer.senate.gov/new_website/contact.cfm
"Sessions, Jeff",R,AL,335 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4124,http://sessions.senate.gov/,http://sessions.senate.gov/public/index.cfm?FuseAction=ConstituentServices.ContactMe
"Shaheen, Jeanne",D,NH,520 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2841,http://shaheen.senate.gov,http://shaheen.senate.gov/contact/
"Shelby, Richard C.",R,AL,304 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5744,http://shelby.senate.gov/,http://shelby.senate.gov/public/index.cfm?p=ContactSenatorShelby
"Snowe, Olympia J.",R,ME,154 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5344,http://snowe.senate.gov/,http://snowe.senate.gov/public/index.cfm?FuseAction=ContactSenatorSnowe.Email
"Stabenow, Debbie",D,MI,133 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4822,http://stabenow.senate.gov/,http://stabenow.senate.gov/?p=contact
"Tester, Jon",D,MT,724 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2644,http://tester.senate.gov/,http://tester.senate.gov/Contact/index.cfm
"Thune, John",R,SD,493 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2321,http://thune.senate.gov/,http://thune.senate.gov/public/index.cfm?FuseAction=Contact.Email
"Toomey, Patrick J.",R,PA,B40B DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4254,http://toomey.senate.gov/,http://toomey.senate.gov/contact_form.cfm
"Udall, Mark",D,CO,317 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5941,http://markudall.senate.gov,http://markudall.senate.gov/?p=contact
"Udall, Tom",D,NM,110 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6621,http://tomudall.senate.gov,http://tomudall.senate.gov/?p=contact
"Vitter, David",R,LA,516 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4623,http://vitter.senate.gov/,http://vitter.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm
"Warner, Mark R.",D,VA,459A RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2023,http://warner.senate.gov,http://warner.senate.gov/public/index.cfm?p=Contact
"Webb, Jim",D,VA,248 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4024,http://webb.senate.gov/,http://webb.senate.gov/contact.cfm
"Whitehouse, Sheldon",D,RI,502 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2921,http://whitehouse.senate.gov/,http://whitehouse.senate.gov/contact/
"Wicker, Roger F.",R,MS,555 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6253,http://wicker.senate.gov,http://wicker.senate.gov/public/index.cfm?FuseAction=Contact.EMailSenatorWicker 
"Wyden, Ron",D,OR,223 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5244,http://wyden.senate.gov/,http://wyden.senate.gov/contact/
